N1,N2,N3,N4,N5,Peso,MetodoCalculo
9,12,13,28,29,3.968343377053054,Promedio
6,9,12,28,29,3.9583075347591477,Promedio
9,12,25,28,29,3.9575906888810115,Promedio
9,12,20,28,29,3.953242175282023,Promedio
4,9,12,28,29,3.946838000708968,Promedio
9,12,28,29,37,3.936085312536925,Promedio
6,9,12,13,29,3.9191370278467046,Promedio
9,12,13,25,29,3.9184201819685684,Promedio
9,12,13,20,29,3.914071668369581,Promedio
6,9,12,25,29,3.9083843396746625,Promedio
4,9,12,13,29,3.9076674937965254,Promedio
6,9,12,20,29,3.904035826075674,Promedio
9,12,20,25,29,3.903318980197538,Promedio
4,6,9,12,29,3.897631651502619,Promedio
4,9,12,25,29,3.896914805624483,Promedio
9,12,13,29,37,3.8969148056244824,Promedio
4,9,12,20,29,3.8925662920254944,Promedio
6,9,12,29,37,3.886878963330576,Promedio
9,12,25,29,37,3.88616211745244,Promedio
9,12,20,29,37,3.8818136038534514,Promedio
4,9,12,29,37,3.8754094292803964,Promedio
6,9,13,28,29,3.862360471070148,Promedio
9,13,25,28,29,3.861643625192012,Promedio
9,13,20,28,29,3.8572951115930243,Promedio
6,9,25,28,29,3.851607782898106,Promedio
4,9,13,28,29,3.850890937019969,Promedio
6,12,13,28,29,3.8507806530387176,Promedio
12,13,25,28,29,3.8500638071605815,Promedio
6,9,20,28,29,3.8472592692991174,Promedio
9,20,25,28,29,3.8465424234209813,Promedio
12,13,20,28,29,3.845715293561593,Promedio
4,6,9,28,29,3.8408550947260625,Promedio
4,9,25,28,29,3.8401382488479263,Promedio
9,13,28,29,37,3.840138248847926,Promedio
6,12,25,28,29,3.8400279648666746,Promedio
4,12,13,28,29,3.839311118988538,Promedio
4,9,20,28,29,3.835789735248938,Promedio
6,12,20,28,29,3.835679451267686,Promedio
12,20,25,28,29,3.83496260538955,Promedio
6,9,28,29,37,3.8301024065540195,Promedio
9,25,28,29,37,3.8293855606758833,Promedio
4,6,12,28,29,3.829275276694631,Promedio
12,13,28,29,37,3.828558430816495,Promedio
4,12,25,28,29,3.828558430816495,Promedio
9,20,28,29,37,3.825037047076895,Promedio
4,12,20,28,29,3.8242099172175075,Promedio
4,9,28,29,37,3.81863287250384,Promedio
6,12,28,29,37,3.818522588522588,Promedio
12,25,28,29,37,3.817805742644452,Promedio
12,20,28,29,37,3.8134572290454645,Promedio
6,9,13,25,29,3.812437275985663,Promedio
6,9,13,20,29,3.8080887623866744,Promedio
9,13,20,25,29,3.8073719165085382,Promedio
